historical_job_hash,historical_verb,historical_raw_score,current_opportunity_id,current_canonical_id,current_version_id,current_document_id,match_method,confidence,disposition
"indeed:829c871daddf233a","SPARSE_SPEC","0","","479bcabbc8c5435b4c1eb2cb20e75491dd7d1a4bb89af9a45c9df61a7e362d47","0a4cee1d59a36cffa9f925caeacd0ab0359ac873ff4c00acdde264970a07d5a4","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:841ee7ce571d01d3","SPARSE_SPEC","0","","f266b09eb3d62fd37c384db88dc2cb623f601e6c74c7255b7518d5e6586196d4","068151e51b5cbadf74687cf21dbf39c89a5abcc4043c470a4eda78d534be0c84","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:87253bffaa13fd2f","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:8c047b413ca62b60","SPARSE_SPEC","0","","1a2a9542e7aa9901f29940410710a86640a0da528c4c79d98221ddffa4d1174a","eec8f26a8856361521fc144079a792b01c3c3113c1ffc04ff662910e714c21ba","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:8e333f2939efdbb4","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:8ea141fdabc82280","SPARSE_SPEC","0","","a13de4e4f39756ffd55647dd3a37c59b9f218b786572d80d3ab54bee9ad590f4","39493fc1739eb7f9993ecbfacb53c087175643d9eb7903dccdb149244bc22abf","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:90d35bc9eba07760","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:91160888e35a41d6","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:912c333722ae300c","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:958f5382f0d02bea","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:95b736830d8849e9","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:99dd76db5a51ec73","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:9b811b795ed376a4","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:a2957ed693dfac92","SPARSE_SPEC","0","","18812bb1117c3db33d8d20a5321f7afdff375f979bfaa8a21f92a8ef108bbdf7","7e48e28aa3e3d18c5054cf1c8cc4c93291e16579589312697ee790b2bcddca71","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:a822d7dec727d183","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:aa1a82277512a167","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:ac1db002fea217f2","SPARSE_SPEC","0","","5c1fde1c50127e54a6b1aa45b66c4ce4be191efc86191a2f42e387aa1644430e","4ebe24474f3cd19d35d997abfec0e8623b3aab5c93aaa9724112a900bfd4aa5c","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:ac7133b9f5208081","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:acce654ef86f137d","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:acd99b0f591427df","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:ad59fc9afe75f95a","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:adb264c40ee632a9","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:af512764f97707f5","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:af9ae4bc10c4f2b5","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:b0773bc105cf584d","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:b15e5798915aea26","SPARSE_SPEC","0","","3f40fec58a4477b60b2de055a7aff18abd707cae2cdc6415381a31b124a5cc87","062f23e5a5b727f7af85df2d34e573d6e5d9ab1137fcda2262a9dd4355de0c27","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:b2836e328bdff0f9","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:b4d0f8be4da4f526","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
