jobHash,stored_verdict,adapter_verdict,serving_verdict,corruption_status
22c17ebec3d3f0e0,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
22f3589c79ccb193,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
22f6d3baf11fb599,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
22fd94c284cfa852,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
22fdff1c3f0fe6a5,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
2323428984bce3bb,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
2331691f14bb577f,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
23339847cbf1b206,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
2341711b00994756,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
23a261971679649f,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
23afd9e102d0387a,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
23f8f526183637c2,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
24305aee42fd50fd,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
246eae2ede38690f,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
249b88e688a192a4,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
24e111c9cf911cbf,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
2507adde0ef0c925,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
267572cd53248b2c,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
26ae8fc1284f1557,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
26ddc90359fe084d,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
26f8a282f2c06cae,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
27ca1e1eb999b0e2,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
28137a1210dd2818,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
2814b44246d286d8,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
2849c465335469ef,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
287767456b843c53,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
296d98bc75c548e5,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
29f4508d79d904cf,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
2a5958f80d3213cf,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
2ae5695ecf79aa05,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
2b4e973defb70efd,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
2b503fef04f2754a,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
2bbd4f63297f4561,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
